codelettres	numero	categorie	compositeurs	oeuvres	interpretes	remarques
pou	5	classique	Poulenc, Francis	Stabat Mater - Salve Regina - Litanies à la vierge noire	Choeurs et orchestre National de Lyon, Serge Baudo - Bernard Tetu	
pou	6	classique	Poulenc - Cocteau	La Voix Humaine (Poulenc) - Le Bel Indifférent (Cocteau)	Orchestre du Théâtre National de l'Opéra Comique, Georges Pr$etre - Edith Piaf	
pou	7	classique	Poulenc, Francis	Sonates pour violon & piano; pour violoncelle & piano; flûte & piano; hautbois & piano; clarinette & piano; clarinette et basson; cor, trombone & trompette - Sextuor pour piano, flûte, hautbois, clarinette, basson & cor - Trio pour piano hautbois basson	Jacques Février - Yehudi Menuhin - PIERRE Fournier - Michel Debost - Michel Portal - Alan Civil - Gérard Faisandier - etc.	2 CD
pou	8	classique	Poulenc, Francis	Gloria - Stabat Mater	Kathleen Battle - Tanglewood Festival Chorus - Boston Symphony Orchestra, Seiji Ozawa	
pou	10	classique	Poulenc, Francis	Sonate pour 2 pianos - Sonate pour piano 4 mains - Badinage - 3 Feuillets d'album - 5 Impromptus - Promenades	Jacques Février, Gabriel Tacchino	
pou	11	classique	Poulenc - Chabrier - Satie	Mouvements Perpétuels, Nocture n°1, Suite Française (Poulenc) - L'Ile Heureuse, Villanelle des petits canards (Chabrier) - Descriptions Automatiques, Avant derni_res pensées, Croquis et agaceries... (Satie)	Pierre Bernac - Francis Poulenc au piano	
pou	12	classique	Poulenc, Francis	Concerto pour orgue en sol mineur - Gloria - Quatre Motets pour un temps de pénitence	Maurice Duruflé (orgue) - Rosanna Carteri (Soprano) - Orchestre National de l'ORTF - Choeurs René Duclos	
pou	13	classique	Poulenc, Francis	oeuvres pour piano: 3 Mouvements perpétuels, 8 Nocturnes, Suite Française, 3 Novelettes, 15 Improvisations, Les Soirées de Nazelles, Villageoises, Thème varié, 3 Intermezzi, Suite en ut, Napoli, etc.	Gabriel Tacchino	2 CD
pou	14	classique	Poulenc, Francis	la musique de chambre: Sonates pour clarinette(s), violon, piano, vhautbois, violoncelle, flûte, basson... - Trio pour piano, hautbois et basson - Sextuor	Jean-Pierre Armengaud (piano) & solistes de l'orchestre Philharmonique de radio-France	2 CD
pou	15	classique	Poulenc, Francis	Figure humaine, Quatre motets pour un temps de pénitence - Laudes de St Antoine de Padoue - Motets pour le temps de Noel - Prières de St François d'Assise	The Sixteen, Harry Christophers	
pou	16	classique	Poulenc - Britten	diverses mélodies pour baryton et piano (Poulenc) - Sonnets à Michel-Ange, Sonnets à John Donne (Britten)	Pierre Bernac, Peter Pears, et les compositeurs respectifs au piano	
prae	1	classique	Praetorius, Michel	Terpsichore Musarum	Ricercar Consort - François Fernandez, Philippe Pierlot - La Fenice, Jean Tubery	
jar	2	jazz	Jarret, Keith	The Köln Concert		
jar	18	jazz	Jarret, Keith	The Köln Concert		
jar	4	jazz	Jarret, Keith	Still Live	Keith Jarrett, Gary Peacock, Jack DeJohnette	2 CD
jar	12	jazz	Jarret, Keith	Keith Jarrett at the Blue Note - the Complete Recordings - CD 1	Keith Jarrett, Gary Peacock, Jack DeJohnette	ensemble de 6 CDS + 1 livret
jar	13	jazz	Jarret, Keith	Keith Jarrett at the Blue Note - the Complete Recordings - CD 2	Keith Jarrett, Gary Peacock, Jack DeJohnette	ensemble de 6 CDS + 1 livret
jar	14	jazz	Jarret, Keith	Keith Jarrett at the Blue Note - the Complete Recordings - CD 3	Keith Jarrett, Gary Peacock, Jack DeJohnette	ensemble de 6 CDS + 1 livret
jar	15	jazz	Jarret, Keith	Keith Jarrett at the Blue Note - the Complete Recordings - CD 4	Keith Jarrett, Gary Peacock, Jack DeJohnette	ensemble de 6 CDS + 1 livret
jar	16	jazz	Jarret, Keith	Keith Jarrett at the Blue Note - the Complete Recordings - CD 5	Keith Jarrett, Gary Peacock, Jack DeJohnette	ensemble de 6 CDS + 1 livret
jar	17	jazz	Jarret, Keith	Keith Jarrett at the Blue Note - the Complete Recordings - CD 6	Keith Jarrett, Gary Peacock, Jack DeJohnette	ensemble de 6 CDS + 1 livret
jar	6	jazz	Jarret, Keith	Bye Bye Blackbird	Keith Jarrett, Gary Peacock, Jack DeJohnette	
jar	10	jazz	Jarret, Keith	Tokyo '96	Keith Jarrett, Gary Peacock, Jack DeJohnette	
jar	11	jazz	Jarret, Keith	La Scala		
jar	8	jazz	Jarret, Keith	Personal Mountains	Keith Jarett, Jan Garbarek, Palle Danielsson, Jon Christensen	
john	1	jazz	Johnson, James P.	From Ragtime to Jazz		
jom	1	jazz	Johnson, Marc	Bass Desires		
jom	2	jazz	Johnson, Marc	Bass Desires - Second Sight		
jone	1	jazz	Jones, Thad	Thad Jones/Mel Lewis Orchestra - vol 1	Thad Jones, Mel Lewis Orchestra	
jonq	1	jazz	Jones, Quincy	Bossa Nova	Quincy Jones and his Orchestra	
jonh	1	jazz	Jones, Hank	I Remember You		
jop	1	jazz	Joplin, Scott	Scott Joplin (the Entertainer, Original Rags...)		
jord	1	jazz	Jordan, Duke	Duke's Artistry	Duke Jordan Quartet	
jors	1	jazz	Jordan Stanley	Magic Touch		
jorsh	1	jazz	Jordan, Sheila	Sheila	Sheila Jordan, Arild Andersen	
hoo	1	jazz	Hooker, John Lee	House Rent Boogie		
kas	1	jazz	Kassap, Sylvain	Foehn		
kes	1	jazz	Kessel, Barney	The Poll Winners Ride Again!		
kin	1	jazz	King, Freddy	Live in Nancy, 1975		
coln	1	jazz	Cole, Nat King	Just One of Those Things (and More)		
kir	2	jazz	Kirk, Roland	Live in Paris, 1970 - vol 1		
kir	1	jazz	Kirk, Roland	We free kings		
kino	1	jazz	King, Olive	The Complete King Olive Creole Jazz Band	King Olive Creole Jazz Band	
kon	1	jazz	Konitz, Lee	Lee Konitz/Michel Petrucciani	Lee Konitz, Michel Petrucciani	
kon	2	jazz	Konitz, Lee	Medium Rare	Lee Konitz + Cordes et lames	
kon	3	jazz	Konitz, Lee	Very Cool		
kon	4	jazz	Konitz, Lee	Alone Together	Lee Konitz, Brad Mehldau, Charlie Haden	
kra	1	jazz	Krall, Diana	All For You		
lacy	1	jazz	Lacy, Steve	Steve Lacy plays Thelonius Monk - Reflections		
leg	1	jazz	Legrand, Michel	Legrand Jazz		
lew	1	jazz	Lewis, John	The Garden of Delight - Delaunay's Dilemma		
lewi	1	jazz	Lewis, Lux	The Blues Piano Artistry of Meade Lux Lewis		
lie	1	jazz	Liebman, Dave	Homage To John Coltrane		
lig	1	jazz	Lightsey, Kirk	Everything is Changed	Kirk Lightsey Quartet	
lit	1	jazz	Little, Booker	Out Front	Booker Little, Max Roach, Eric Dolphy	
lin	1	jazz	Lincoln, Abbey	Straight Ahead		
lin	2	jazz	Lincoln, Abbey	The World Is Falling Down		
nel	1	jazz	Nelson, Oliver	More Blues and the Abstract Truth		
nel	2	jazz	Nelson, Oliver	The Blues and the Abstract Truth		
par	1	jazz	Parker, Charlie	Now's the time		
par	2	jazz	Parker, Charlie	Bird and Diz	Charlie Parker, Dizzy Gillespie, Thelonius Monk, Curly Russel, Buddy Rich	
par	7	jazz	Parker, Charlie	the Complete Charlie Parker Recordings on Verve - vol 4		
par	8	jazz	Parker, Charlie	the Complete Charlie Parker Recordings on Verve - vol 5		
par	9	jazz	Parker, Charlie	the Complete Charlie Parker Recordings on Verve - vol 6		
par	10	jazz	Parker, Charlie	the Complete Charlie Parker Recordings on Verve - vol 7		
par	11	jazz	Parker, Charlie	the Complete Charlie Parker Recordings on Verve - vol 8		
par	12	jazz	Parker, Charlie	the Complete Charlie Parker Recordings on Verve - vol 9		
par	13	jazz	Parker, Charlie	the Complete Charlie Parker Recordings on Verve - vol 10		
pep	1	jazz	Pepper, Art	Art Pepper meets the Rythm Section	Art Pepper, Red Gariland, Paul Chambers, Philly Joe Jones	
pep	2	jazz	Pepper, Art	Art Pepper + Eleven		
pep	3	jazz	Pepper, Art	The Trip		
pet	1	jazz	Peterson, Oscar	the Oscar Peterson Trio at the Straford Shakesparean Festival	Oscar Peterson, Ray Brown, Herb Ellis	
pet	2	jazz	Peterson, Oscar	Stuff Smith, Dizzy Gillespie, Oscar Peterson	Oscar Peterson, Stuff Smith, Dizzy Gillespie	2 CD
pet	3	jazz	Peterson, Oscar	Exclusively for my friends		coffret 4 CD
pet	4	jazz	Peterson, Oscar	A Jazz Portrait Of Frank Sinatra	the Oscar Peterson Trio	
pet	5	jazz	Peterson, Oscar	the Trio	Oscar Peterson, Ray Brown, Ed Thigpen	
pet	6	jazz	Peterson, Oscar	Freedom Song	the Oscar Peterson Big 4	
pet	7	jazz	Peterson, Oscar	Live at the Northsea Jazz Festival		
pet	8	jazz	Peterson, Oscar	Night Train	the Oscar Peterson Trio	
pet	9	jazz	Peterson, Oscar	A Jazz Portrait of Frank Sinatra	the Oscar Peterson Trio	
