codelettres	numero	categorie	compositeurs	oeuvres	interpretes	remarques
bert	1	classique	Beriot, Charles Auguste de	concertos pour violon n° 1, 8 et 9	Takako Nishizaki - RTBF Orchestra - Alfred Walter	
sch	2	classique	Schubert, Franz	les Sonates pour piano D960 D459 D459a D958 D959 D894 D850 D845 D840 D784	W. Kempff	4 CD
sch	6	classique	Schubert, Franz	Le Chant du Cygne D957	A. Brendel, Fischer-Dieskau, Dietrich	
sch	12	classique	Schubert, Franz	Octuor D803	Academy Chamber Ensemble	
sch	14	classique	Schubert - Mozart	Lieder	E. Schwarzkopf	
sch	20	classique	Schubert, Franz	Quintette pour deux violons, alto et deux violoncelles	Isaac Stern, Alexander Schneider, Milton Katims, Pablo Casals, Paul Tortelier	
sch	21	classique	Schubert, Franz	Lieder	Barbara Hendricks - Radu Lupu	
sch	24	classique	Schubert, Franz	intégrale de l'oeuvre pour piano et violon	Gérard Poulet - Noël Lee	2 CD
sch	25	classique	Schubert - Dvorak - Borodine	Quatuor La Jeune Fille et la Mort (Schubert) - Quatuor Américain (Dvorak) - Nocturne (Borodine)	Quartetto Italiano	
sch	26	classique	Schubert, Franz	Lieder	Jessye Norman - Phillip Moll	
sch	28	classique	Schubert, Franz	Messes D678 et D452	Donath Popp - Fassbaender Araiza - Dallapozza Fischer-Dieskau ; Orchestre de la Radio Bavaroise, Wolfgang Sawallisch	
sch	29	classique	Schubert - Liszt - Mendelssohn	3 Nocturnes, Rêve d'Amour (Liszt) - 6 Moments Musicaux (Schubert) - Romances sans paroles	Daniel Barenboim	
sch	31	classique	Schubert, Franz	Trio n°2 D929	Eugène Istomin, Léonard Rose, Isaac Stern	
sch	33	classique	Schubert, Franz	"l'oeuvre pour piano à 4 mains, vol.1"	Christian Ivaldi, Noël Lee	2 CD
sch	34	classique	Schubert, Franz	Impromptus D899 et D935 - Allegretto D915	Artur Schnabel	
sch	36	classique	Schubert, Franz	Symphonies n°3, 5 et 6	Royal Philharmonic Orchestra, Sir Thomas Beecham	
sch	37	classique	Schubert, Franz	Rosamunde, Princesse de Chypre	The Chamber Orchestra of Europe, C. Abbado	
sch	38	classique	Schubert, Franz	Sonate pour piano D960 - Wanderer-Fantaisie D760	Brendel	
sch	39	classique	Schubert, Franz	Lieder	D. Fischer-Dieskau, A. Brendel	
sch	40	classique	Schubert, Franz	Sonates pour piano D959, D784, D157	Radu Lupu	
sch	41	classique	Schubert, Franz	Sonates pour piano D958 et D959	Maurizio Pollini	
sch	42	classique	Schubert, Franz	Trio avec piano D929 ; Fantaisie en ut pour violon et piano D934	Rudolf Serkin ; Adolf Busch ; Hermann Busch	
sch	43	classique	Schubert, Franz	Chants pour Choeur d'Hommes	Robert Show, Chorale R. Show	
sch	45	classique	Schubert, Franz	"Lieder vol.2"	D. Fischer-Dieskau, G. Moore	9 CD
sch	46	classique	Schubert - Schumann	Sonate pour piano D959 (Schubert) - Sonate op.22 (Schumann)	Murray Perahia	
sch	47	classique	Schubert, Franz	Quatuor à cordes D87 - Trios à cordes D471 et D580	Quatuor L'Archidubelli	
sch	48	classique	Schubert, Franz	Quatuor La Jeune Fille et la Mort	the Juilliard Quartet	
sch	49	classique	Schubert, Franz	le Voyage d'Hiver	Christia Ludwig - James Levine	
sch	51	classique	Schubert, Franz	Lieder	E. Schwarzkopf, Edwin Fischer	
sch	52	classique	Schubert, Franz	Quatuor La Jeune Fille et la Mort D810	Busch Quartet	
sch	53	classique	Schubert, Franz	l'intégrale des trios (à cordes et avec piano)	Grumiaux Trio	2 CD
sch	59	classique	Schubert, Franz	Quatuors D87 et D804	Quatuor Mosaïques	
sch	61	classique	Schubert, Franz	Octuor en fa D803	Mozzafiato - L'Archibudelli	
sch	63	classique	Schubert, Franz	les Quatuors à Cordes D18, D32, D36, D103, D46, D68, et D74	Melos Quartet	2 CD
sch	64	classique	Schubert, Franz	oeuvres pour piano 4 mains: 3 marches militaires D733, 4 Polonaises D599, Fantaisie en sol mineur D9	Jeno Jando, Zsusza Kollar	
sch	62	classique	Schubert, Franz	Quatuors à cordes D94, D112, D173, D87, D804, D353, D810, D703, D887	Melos Quartet	4 CD
sch	60	classique	Schubert, Franz	"Sonates pour piano vol.2" (D.G.)	W. Kempff	3 CD
sch	22	classique	Schubert, Franz	"Sonates pour piano vol.1" (D.G.)	W. Kempff	3 CD (coffret de 4 mais il en manque un)
sch	35	classique	Schubert, Franz	le Voyage d'Hiver	Hans Otter - Gerald Moore	
sch	56	classique	Schubert, Franz	Quintette à cordes D956 - Quatuors à cordes D804 et D887, La Jeune Fille et La Mort D810	Quatuor Hongrois - Laszlo Varga	2 CD
sch	50	classique	Schubert, Franz	Lieder	Hans Hotter (baryton), Gerald Moore	
sch	7	classique	Schubert, Franz	La Belle Meunière D795	Francisco Araiza, Irvine Gage	
sch	18	classique	Schubert, Franz	La Truite D667, Sonate pour piano D959	A. Schnabel	
sch	9	classique	Schubert, Franz	le Voyage d'Hiver	Hermann Prey - Philippe Bianconi	
sch	16	classique	Schubert, Franz	Impromptus D899 et D935	Radu Lupu	
sch	19	classique	Schubert, Franz	Quintette pour deux violons, alto et deux violoncelles D956	Isaac Stern, A. Schneider, Milton Katims, Pablo Casals, Paul Tortelier	en double, cf. sch 20
bri	1	classique	Britten Benjamin	The Complete Music for Strings	The Bournemouth Sinfonietta, Ronald Thomas	
bri	2	classique	Britten Benjamin	War Requiem	London Symphony Orchestra	2 CDs manque le livret.
bri	3	classique	Britten Benjamin	Serenade, Les Illuminations, Nocturne	Peter Pears, Barry Tuckwell, The London Symphony Orchestra, The English Chamber Orchestra	
bri	4	classique	Britten Benjamin	death in venice	Peter Pears, John Shirley-Quirk, James Bowman, Kenneth Bowen, Members of the English Opera Group, English Chamber Orchestra, Steuart Bedford	2 CDs, un livret
bri	5	classique	Britten Benjamin	the turn of the screw	Peter Pears, Jennifer Vyvyan, David Hemmings, Olive Dyer, Joan Cross, Arda Mandikian	2 CDs, un livret
sai	6	classique	Saint-Saëns, Camille	Concertos pour piano n°3 et 5	Jean-Philippe Collard, Royal Philharmonic Orchestra, André Prévin	
bri	7	classique	Britten Benjamin	billy bud	Peter Pears, Benjamin Britten, Dietrich Fischer-Dieskau, Peter Glossop...	3 CDs, un livret
bri	8	classique	Britten, Reger Max, Crumb George, Ligeti György	plays suites and sonatas for solo cello	Haimovitz Matt	
bri	10	classique	Britten Benjamin	The rape of Lucretia, Phaedra	English Chamber Orchestra, Benjamin Britten	2 CDs, un livret
bri	11	opera	Britten Benjamin	a midsummer night's dream	Choirs of Downside and Emanuel Schools, London Symphony Orchestra, Benjamin Britten	2 CDs, un livret
bri	13	classique	Britten Benjamin	A ceremony of carols, Hymn to St. Cecilia Op. 27 for unaccompanied chorus, Rejoice in the Lamb Op. 30, Te Deum in C, Jubilate Deo, Missa Brevis in D Op. 63 for boys' voices and organ	King's College Choir, Cambridge, Sir David Willcocks & Philip Ledger	
bri	14	classique	Britten Benjamin	Spring Symphony, Four Sea Interludes	London Symphony Orchestra, André Previn	
bkn	1	classique	Bruckner Anton	Symphony nr. 8 C-Moll	Wiener Philharmoniker, Carlo Maria Giulini	2 CDs
bkn	2	classique	Bruckner Anton	Symphony n°4 "Romantic"	Wiener Philharmoniker Orchestra, Karl Böhm	
bkn	3	classique	Bruckner Anton	Motetten	Freiburger Vokalensemble, Leitung Wolfang Schäfer	
bkn	4	classique	Bruckner Anton	Symphony n°3	Symphonie-Orchester des Bayerischen Rundfunks, Rafael Kubelik	
bkn	5	classique	Bruckner Anton	symphonie n°7	Wiener Philharmoniker, Karl Böhm	
bkn	7	classique	Bruckner Anton	Mass in F minor "grosse messe"	Symphonie-Orchester des bayersischen rundfunks, Sir Colin Davis	
bkn	8	classique	Bruckner Anton	Symphonies n°1, 2 et 3	Berliner Philharmoniker, Symphonie-Orchester des Bayerischen Rundfunks, Eugen Jochum	3 CDs, boîte cassée
bkn	10	classique	Bruckner Anton	symphonies n° 7, 8 et 9	Berliner Philharmoniker, Eugen Jochum	3 CDs
bkn	11	classique	Bruckner Anton	Symphonies n°4 et 8 	Orchestre philharmonique de Vienne, Wilhelm Furtwängler	2 CDs
bkn	12	classique	Bruckner Anton	Symphonies n° 7 et 9	Orchestre philharmonique de Berlin, Wilhelm Furtwängler	2 CDs
bkn	13	classique	Bruckner Anton	String Quintet in F major, Intermezzo, Rondo for String Quartet, String Quartet in C minor	L'archibudelli	
bra	15	classique	Brahms, Johannes	Symphony n°3 en fa majeur, op. 90; Ouverture pour une fête académique, op. 80	Chicago Symphony Orchestra, Sir Georg Solti	
bra	58	classique	Brahms, Johannes	Quattuor à cordes n°3 en si bémol majeur, Op. 67, Quattuor pour piano et cordes n°1 en sol mineur, op. 25	Bush Quartet, Rudolf Serkin, Adolf Busch, Hugo Gottesmann, Hermann Busch	
bra	59	classique	Brahms, Johannes	Sonate pour violon et piano n°1 en sol majeur, Op. 78, Sonate pour violon et piano n°2, Op. 100, Trio pour piano, violon et cor, Op. 40	Adolf Busch, Rudolf Serkin, Aubrey Brain	
bra	60	classique	Brahms, Johannes	Quintette pour clarinette et cordes en si mineur, Op. 115; Quattuor à cordes en ut mineur, Op. 51	Reginald Kell, Busch Quartet	
bra	61	classique	Brahms, Johannes	Sonate op. 120 n°1 en fa mineur, Sonate op. 120 n°2 en mi bémol majeur, Trio op. 114 en la mineur, Quintette op. 115 en si mineur	Alain Damiens, Quattuor Rosamonde, Alain Neveux, Pierre Strauch	2 CDs
bra	62	classique	Brahms, Johannes	Sextuor à cordes n°1 en si bémol majeur op. 18, Trio pour piano violon et violoncelle n°3 en ut mineur op. 101	Jean Claude Pennetier, Régis Pasquier, Raphaël Oleg, Bruno Pasquier, Jean Dupouy, Roland Pidoux, Etienne Péclard	
bra	63	classique	Brahms, Johannes	Variations on a Theme by Paganini, Variations and fugue on a theme by Handel, 4 ballades Op. 10	Julius Katchen	
bra	64	classique	Brahms, Johannes	Concerto pour piano n°2 en si bémol majeur op. 83	Claudio Arrau, Philharmonia Orchestra, Carlo Maria Giulini	
bra	65	classique	Brahms, Johannes	ein deutsches requiem	Verena Keller, Claudie Martinet, Daniel Petrovitch, Bertrand Maury, Choeurs Vincent d'Indy, dir. Patrice Holiner	
bra	66	classique	Brahms, Johannes	trios avec piano n°1 op.8, n°2 op.87, n°3 op.101, sonate pour violoncelle n°2 op. 99, scherzo pour violon et piano en ut mineur	Julius Katchen, Josef Suk, Janos Starker	
bra	67	classique	Brahms, César Franck, Beethoven	Sonate op. 27 n°2 "Moonlight", Prélude choral et fugue, variations on a theme by Paganini Op.35	Evgeny Kissin	
bra	39	classique	Brahms, Johannes	Oeuvres pour piano solo Vol. 1	Julius Katchen	Coffret - 3 CD, boîte cassée
bra	40	classique	Brahms, Johannes	Oeuvres pour piano solo Vol. 2	Julius Katchen	3 CD - Plage 14 du disque 5 rayée
bra	42	classique	Brahms, Johannes	Symphonie N° 4 Op.98 et N° 1 Op. 68, versions originales pour piano à 4 mains	Duo Crommelynck	
bra	43	classique	Brahms, Johannes	Concerto pour piano N° 1	Claudio Arrau - Philarmonia Orchestra, Carlo Maria Giulini	
bra	44	classique	Brahms, Johannes	Ein deutsches Requiem	Margaret Price - Thomas Allen - Chor und Symphonieorchester des Bayerischen Rundfunks, Wolfgang Sawallisch	
bra	45	classique	Brahms, Johannes	Lieder : Liebestreu - Sapphische Ode - Zigeunerlieder - Gestillte Sehnsucht - Geistliches Wiegenlied	Jessye Norman, Daniel Barenboïm	
bra	46	classique	Brahms, Johannes	Liebesliederwalzer Op. 52a - Souvenir de la Russie Op. 151 - Neue Libesliederwalzer Op. 65a - Variations Op. 23	Duo Crommelynck, piano à 4 mains	
bra	47	classique	Brahms, Johannes	Symphonie N° 1 - Akademische Festouvertüre, Op. 80 - Danses Hongroises	NBC Symphony Orchestra, Arturo Toscanini	
bra	48	classique	Brahms, Johannes	Symphonie N° 4 - Liebesliederwalzer Op. 53 - Gesang der Parzen	NBC Symphony Orchestra, Arturo Toscanini	
bra	49	classique	Brahms, Johannes	Symphonie N° 3 - Double Concerto	Mischa Mischakoff, Frank Miller, NBC Symphony Orchestra, Arturo Toscanini	
bra	50	classique	Brahms, Johannes	Symphonie N° 2 - Haydn Variations - Tragic Overture	NBC Symphony Orchestra, Arturo Toscanini	
bra	52	classique	Brahms, Johannes	Quintettes Op. 111 & 115	Melos Quartett, Gérard Caussé, Michel Portal	
bra	54	classique	Brahms, Johannes	Ein deutsches Requiem	Elisabeth Schwarzkopf, Dietrich Fischer-Dieskau, Philarmonia Chorus & Orchestra, Otto Klemperer	
bra	55	classique	Brahms, Johannes	Quintette avec piano en fa mineur - Quatuor avec piano en la majeur	Rudolf Serkin, Busch Quartet	
bra	56	classique	Brahms, Johannes	Lieder	Dietrich Fischer-Dieskau, Wolfgang Sawallisch, Gerald Moore	Coffret - 3 CD
bra	57	classique	Brahms, Johannes	Lieder - Der schöne Magelone	Dietrich Fischer-Dieskau, Wolfgang Sawallisch, Daniel Barenboïm, Sviatoslav Richter	pas de livret
colo	1	jazz	Coleman, Ornette	Dancing in your head		
colo	2	jazz	Coleman, Ornette	The music of Ornette Coleman: Something else!		
bruc	1	classique	Bruch, Max	Oeuvres pour clarinette et alto	Paul Meyer, Gérard Caussé, François-René Duchable, Orchestre de l'Opéra de Lyon, Kent Nagano	
bruc	2	classique	Bruch, Vieuxtemps	Bruch : Concerto pour violon N° 1, Scottish Fantasy - Vieuxtemps : Concerto pour violon N° 5	Jascha Heifetz, New Symphony Orchestra of London, Sir Malcolm Sargent	
bruc	3	classique	Bruch - Beethoven	Beethoven : Concerto pour violon - Bruch : Scottish Fantasia	Kyung Wha CHung, Kirill Kondrashin, Rudolf Kempe	
bruc	4	classique	Bruch, Max	Concerto pour violon N° 2 - Fantaisie Ecossaise	Itzhak Perlman, Israel Philharmonic Orchestra, Zubin Mehta	
bruc	5	classique	Bruch, Max	Les 3 symphonies - Danses suédoises Op. 63 N° 1 à 7	Gewandhausorchester Leipzig, Kurt Masur	Coffret - 2 CD
bus	2	classique	Busoni, Ferrucio	Concerto pour piano	John Ogdon, Royal Philharmonic Orchestra, Danielle Revenaugh	
bus	3	classique	Busoni, Ferrucio	Berceuse Elégiaque - Canto della Ronda degli Spiriti - Lustspielouvertüre - Four songs for Baritone and Piano - Concerto pour violon en ré majeur - Rondo Arlecchinesco	Boult, Fischer-Dieskau, Barenboïm, Copland	
bux	1	classique	Buxtehude, Dietrich	Cantate BuxWV 75 - "Membra Jesu Nostri"	B. Schlick - M. Frimmer - M. Chance - C. Pregardien - P. Kooy - Hannover Knabenchor, The Amsterdam Baroque Orchestra, Ton Koopman	
bux	2	classique	Buxtehude, Dietrich	L'oeuvre d'orgue Vol. 1	René Saorgin	Livret à part
bux	3	classique	Buxtehude, Dietrich	L'oeuvre d'orgue Vol. 2	René Saorgin	Livret à part
bux	4	classique	Buxtehude, Dietrich	L'oeuvre d'orgue Vol. 3	René Saorgin	Livret à part
bux	5	classique	Buxtehude, Dietrich	L'oeuvre d'orgue Vol. 4	René Saorgin	Livret à part
bux	6	classique	Buxtehude, Dietrich	L'oeuvre d'orgue Vol. 5	René Saorgin	Livret à part
burk	1	classique	Burkhard, Willy	Das Gesicht Jesajas, Op. 41	Direction : Volker Hempfling	
byd	1	classique	Byrd, William	Les trois messes	The Tallis Scholars, Peter Phillips	
byd	2	classique	Byrd, William	Pavans & Galliards	Davitt Moroney, clavecin	Coffret - 2 CD
byd	3	classique	Byrd, William	"Songs of Sundrie Natures", musique pour voix et violes	The Hilliard Ensemble London Baroque, Paul Hillier	
byd	4	classique	Byrd, William	The great service	The Tallis Scholars, Peter Phillips	
byd	5	classique	Tallis, Byrd, Taverner, Edwards, Sheppard	Motets et messe pour quatre voix 	The Theatre of Voices, Paul Hillier	
cag	1	classique	Cage, John	Sonates et Interludes pour piano préparé	Gérard Fremy	
cag	2	classique	Cage, John	Oeuvres pour percussion	Quatuor Hélios	
cag	3	classique	Cage, John	Oeuvres pour piano et piano préparé Vol. 1	Josuha Pierce, Jay Clayton, The Paul Price Percussion Ensemble	
cag	4	classique	Cage, John	Oeuvres pour piano et piano préparé Vol. 2	Joshua Pierce, Dorothy Jonas, Frank Almond	
cag	5	classique	Cage, John	Oeuvres pour piano, "Toy Piano" et piano préparé Vol. 3	Joshua Pierce, Maro Ajemian, Marilyn Crispell, Joe Kubera	
cag	6	classique	Cage, John	Sixty-two Mesostics re Merce Cunningham	Eberhard Blum	A vos souhaits...
cag	7	classique	Cage, John	Freeman Etuds, LIvres 1 & 2	Irvine Arditti, violon	
camp	1	classique	Campra, André	Messe des morts (Requiem)	Soli - Monteverdi Choir & English Baroque Soloists, John Eliot Gardiner	
can	1	classique	Canteloube de Malaret, Marie-Joseph 	Chants d'Auvergne Vol. 1	Kiri te Kanawa, English Chamber Orchestra, Jeffrey Tate	
cap	1	classique	Caplet, André	Messe, Prières et Mélodies	Hanna Schaer, Solistes des Choeurs de Lyon, Quatuor Ravel	
caru	1	classique	Carulli, Ferdinando	Musique pour flûte et guitare	Jean-Pierre Rampal, Alexandre Lagoya, Franz Liszt Chamber Orchestra, Janos Rolla	
cast	1	classique	Castiglione, Baldassar	Il Libro Del Cortegiano	Doulce Mémoire	
carte	1	classique	Carter, Elliott	Concerto pour hautbois - Esprit rude/Esprit doux - A mirro on which to dwell - Penthode	Ensemble Intercontemporain, Pierre Boulez	
cole	3	jazz	Coleman, Steve	Curves of life	Steve Coleman and five elements	
cat	1	classique	Catalani	La Wally (sélection)	Renata Tebaldi, Giacinto Prandelli, Dino Dondi, Choeurs et Orchestre de la RAI de Rome, Arturo Basile	
col	4	jazz	Coltrane, John	Crescent	John Coltrane Quartet	
cat	2	classique	Catalani, Alfredo	Messa per coro, soli e orchestra - La Falce (Proglogo) - La Primavera - Extase !	Orcehstra lirico sinfonica del Teatro del Giglio di Lucca, Cappella "Santa Cecilia" della Cattedrale di Lucca, Gianfranco Cosmi, Giuliano Carella	
conn	1	jazz	Connick, Harry	France, I wish you love	Harry Connick Jr.	
chab	1	classique	Chabrier, Emmanuel	Chabrier : Espana, Cortège burlesque, Trois valses romantiques - Infante : Musiques d'Espagne, Danses Andalouses	Duo Corre-Exerjean, 4 mains et 2 pianos	
chab	3	classique	Chabrier, Emmanuel	A la musique - La Sulamite - Gwendoline - Larghetto pour cor - Valses romantiques - Habanera	Barbara Hendricks, Susan Mentzer, Pierre del Vescovo, Choeurs de Toulouse Midi-Pyrénées, Orchestre du Capitole de Toulouse, Michel Plasson	
chab	4	classique	Chabrier, Emmanuel	Espana - Joyeuse marche - Suite pastorale - Danse slave - Fête polonaise - Prélude pastoral - Bourrée fantasque - Menuet pompeux	Orchestre du Capitole de Toulouse, Michel Plasson	
cont	1	jazz	L'orchestre de Contrebasses	Les Cargos		
chab	5	classique	Chabrier, Emmanuel	Bourrée fantastique - 10 pièces pittoresques - 5 morceaux pour piano - Impromptu - 3 valses romantiques	Jean, Robert et Gaby Casadesus	
chab	6	classique	Chabrier, Lalo	Chabrier : Espana, Suite pastorale, Joyeuse Marche, Fête polonaise, Danse slave - Lalo : Rapsodie, Scherzo, Le Roi d'Ys (ouverture)	L'Orchestre de la Suisse Romande, Ernest Ansermet	
cor	3	jazz	Corea, Chick	Crystal Silence	Chick Corea, Gary Burton	
cor	4	jazz	Corea, Chick	My Spanish heart		
char	1	classique	Charpentier, Marc-Antoine	Leçons du Mercredy Sainct	Concerto Vocale	
cor	5	jazz	Corea, Chick	Akoustic Band		
char	2	classique	Charpentier, Marc-Antoine	Inédits à l'orgue	Jean-Paul Lecot	
char	3	classique	Charpentier, Marc-Antoine	Leçons du Vendredy Sainct	Concerto Vocale	
cor	6	jazz	Corea, Chick	Tap Step		
cor	7	jazz	Corea, Chick	Live in Montreux	Chick Corea, Joe Henderson, Roy Haynes, Gary Peacock	
char	4	classique	Charpentier, Marc-Antoine	Leçons du Jeudy Sainct	Concerto Vocale	
char	5	classique	Charpentier, Marc-Antoine	Motet pour l'Offertoire de la Messe Rouge	Solistes - Choeur et Orchestre de la Chappelle Royale, Philippe Herreweghe	
cor	8	jazz	Corea, Chick	Works		
char	7	classique	Charpentier, Marc-Antoine	Te Deum, Missa "Assumpta est Maria", Litanies de la Vierge	Les Arts Florissants, William Christie	
cor	9	jazz	Corea, Chick	Expressions		
chav	1	classique	Chavez, Carlos	Sinfonia India, Sinfonia De Antigona, Sinfonia Romantica	New York Stadium Symphony Orchestra	
sts	1	opera	Strauss, Johann	La chauve-souris	Kmentt, Gueden, Köth, Berry, Karajan	2 Cds
cor	13	jazz	Corea, Chick	Rendez-vous in New-York		2 Cds
chau	2	classique	Chausson, Ernest	POème de l'Amour et de la Mer - Chanson perpétuelle - Mélodies	Jessye Norman, Michel Dalberto, Quatuor & Orchestre Philharmonique de Mont-Carlo, Armin Jordan	
cor	10	jazz	Corea, Chick	Now he sings, now he sobs		
chau	3	classique	Chausson, Ernest	Symhonie - Soir de fête - Viviane	Orchestre du Capitole de Toulouse, Michel Plasson	
cott	1	jazz	Cotton, James	High Compression		
chau	5	classique	Chausson, Lekeu	Chausson : Quatuor avec piano en la majeur Op. 39µ0 - Lekeu : QUatuor inachevé	Quatuor Kandinsky	
cou	1	jazz	Counce, Curtis	Exploring the future	The Curtis Counce Quintet	
che	1	classique	Cherubini, Luigi	Messe du Couronnement - Marche religieuse	Philharmonia Chorus, Philharmonia Orchestra, Riccardo Muti	
che	2	classique	Cherubini, Luigi	Requiem	The Ambrosian Singers, Nex Philharmonia Orchestra, Riccardo Muti	
che	3	classique	Cherubini, Luigi	Les quatuors à cordes	Melos Quartett	Coffret - 3 CD
damb	1	jazz	d'Ambrosio, Meredith 	The Cove		
damb	2	jazz	d'Ambrosio, Meredith 	It's your dance		
cho	1	classique	Chopin, Frédéric	Etudes pour piano	François-René Duchable	Le must...
cho	2	classique	Chopin, Frédéric	4 Scherzi	Claudio Arrau	
dam	1	jazz	Dameron, Tadd	Fontainebleau		
cho	4	classique	Chopin, Frédéric	Les Mazurkas	Artur Rubinstein	Coffret - 2 CD
cho	5	classique	Chopin, Frédéric	6 Mazurkas - 3 Etudes - Prelude - Valse - Polonaise militaire	Vladimir Horowitz	
dav	1	jazz	Davis, Miles	You're under arrest		
dav	2	jazz	Davis, Miles	Kind of blue		
dav	4	jazz	Davis, Miles	Music from Siesta	Miles Davis, Marcus Miller	
cho	6	classique	Chopin, Frédéric	Sonates N° 2 & 3 - Barcarolle	Vlado Perlemuter	
dav	6	jazz	Davis, Miles	My funny Valentine		
cho	7	classique	Chopin, Frédéric	Les Valses - Barcarolle - Nocturne Op. 27 N° 2 - Mazurka Op. 50 N° 3	Dinu Lipatti	
dav	8	jazz	Davis, Miles	Relaxing with	The Miles Davis Quintet	
dav	9	jazz	Davis, Miles	1 heure avec Miles Davis		
dav	10	jazz	Davis, Miles	Tutu		
cho	8	classique	Chopin, Frédéric	10 Mazurkas - Prélude Op. 45 - Ballade Op. 23 (1e) - Scherzo Op. 31 (2e)	Arturo Benedetti MIchelangeli	
dav	11	jazz	Davis, Miles	Ballads		
cho	9	classique	Chopin, Frédéric	Préludes	Maurizio Pollini	
cho	11	classique	Chopin, Liszt	Chopin :Concerto pour piano N° 1 - Liszt : Concerto pour piano N° 1	Martha Argerich, London Symphony Orchestra, Claudio Abbado	
dav	13	jazz	Davis, Miles	Bag's Groove	Miles Davis, Sonny Rollins, Thelonious Monk	
cho	12	classique	Chopin, Frédéric	Les 21 Nocturnes	Claudio Arrau	Coffret - 2 CD
cho	13	classique	Chopin, Frédéric	Mélodies Op. 74	Elisabeth Söderström, Vladimir Ashkenazy	
cho	14	classique	Chopin, Frédéric	Polonaises	Samson François	
dav	14	jazz	Davis, Miles	Stockholm 1960	Miles Davis, Sonny Stitt	
cho	15	classique	Chopin, Frédéric	Nocturnes - Préludes	Samson François	Coffret - 2 CD
dav	16	jazz	Davis, Miles	Decoy		
cho	16	classique	Chopin, Frédéric	Oeuvres pour piano Vol. 2	Alfred Cortot	Coffret - 3 CD
dav	17	jazz	Davis, Miles	Dingo	Miles Davis, Michel Legrand	
cho	17	classique	Chopin, Frédéric	Valses	Claudio Arrau	
dav	18	jazz	Davis, Miles	At Carnegie Hall		
cho	18	classique	Chopin, Franck	Chopin : Sonate pour violoncelle Op. 65 - Franck : Sonate pour violoncelle en la	Jacqueline du Pré, Daniel Barenboïm	
dav	19	jazz	Davis, Miles	The Complete Amsterdam Concert		
dav	20	jazz	Davis, Miles	The Man with the Horn		
cho	19	classique	Chopin, Moniuszko	Chopin : La musique de chambre - Moniusko : Les deux quatuors à cordes	Quatuor à cordes de Varsovie	
dav	21	jazz	Davis, Miles	Nonet 1948 - Jam 1949		
dav	23	jazz	Davis, Miles	Live at Montreux	Miles Davis, Quincy Jones	
cho	20	classique	Chopin, Frédéric	17 valses	Jean-Marc Luisada	
dav	24	jazz	Davis, Miles	The best Live		
dav	25	jazz	Davis, Miles	Miles Davis in concert 88 (II)		
dav	27	jazz	Davis, Miles	doo-bop		
dav	28	jazz	Davis, Miles	Sketches of Spain		
cho	23	classique	Chopin, Frédéric	Concert Rondo Op. 14 " Krakowiak - Andante spianato et Grande Polonaise brillante - Variations en Si bémol majeur - Fantaisie sur des airs polonais Op. 13	Claudio Arrau, London Philharmonic Orchestra, Eliahu Inbal	
dav	29	jazz	Davis, Miles	The complete birth of the cool		
cho	24	classique	Chopin, Frédéric	4 ballades	Krystian Zimerman	
dela	1	jazz	Delano, Peter	Peter Delano		
cho	25	classique	Chopin, Frédéric	Concertos pour piano - 19 Nocturnes - Valse Op. 64 N° 2	Arthur Rubinstein, London Symhony Orchestra, John Barbirolli	
cho	26	classique	Chopin, Frédéric	Ballades 3 & 4, Etudes, Polonaises	Guiomar Novaes	
dim	1	jazz	Di Meola, Al	Land of the midnight sun		
cho	27	classique	Chopin, Frédéric	Oeuvres pour piano Vol. 1	Alfred Cortot	Coffret - 3 CD
don	1	jazz	Donaldson, Lou	Blues Walk		
deb	10	classique	Debussy Claude	Suite bermasque, Pour le piano, Estampes, Images (oubliées)	Zoltan Kocsis	
dors	1	jazz	Dorsey, Tommy	The Carnegie Hall V-Disc Session April 1944		
cho	29	classique	Chopin, Frédéric	L'oeuvre pour piano et orchestre	Claudio Arrau, Orchestre philharmonique de Londres, Eliahu Inbal	2 CD
duk	2	jazz	Dukes of Dixieland	Tiger Rag		
cho	30	classique	Chopin, Frédéric	études,mazurkas,ballades	musicalix	
earl	1	jazz	Earl, Ronnie	Deep Blues	Ronnie Earl and The Broadcasters	
chs	2	classique	Chostakovich, Dimitri	Symphonie N° 8	Concertgebouw Orchestra, Bernard Haitink	
chs	3	classique	Chostakovich, Dimitri	Concerto pour piano Op. 102 - Symphonie pour cordes Op. 118a	Maxim et Dimitri Shostakovich, I Musici de Montreal	
chs	4	classique	Chostakovich, Dimitri	Symphonie N° 10	Berliner Philharmoniker, Herbert von Karajan	
chs	5	classique	Chostakovich, Dimitri	Concertos pour violoncelle N° 1 & 2	Heinrich Schiff, Symphonie-Orchester des Bayerischen Rundfunks, Maxim Shostakovich	
chs	6	classique	Chostakovich, Dimitri	Concertos pour violon Op. 99 et Op. 129	David Oistrakh, Orchestre Philharmonique de Moscou, Kirill Kondrachine	
chs	7	classique	Chostakovich, Dimitri	Trio Op. 67 - Sonate pour violoncelle et piano	Isaac Stern, Yo-Yo Ma, Emanuel Ax	
chs	8	classique	Chostakovich, Schnittke	Chostakovich : Sonate pour Violon Op. 134 - Schnittke : Sonate pour VIolon N° 1, Sonate in the olden style	Rostislav Dubinsky, Luba Edlina	
chs	9	classique	Chostakovich, Dimitri	Symphonies 1 & 9	London Philharmonic Orchestra, Bernard Haitink	
